Date,Ticker,Attribute,Value
2020-07-31,META,Open,255.82000732421875
2020-08-03,META,Open,252.64999389648438
2020-08-04,META,Open,251.55999755859375
2020-08-05,META,Open,250.19000244140625
2020-08-06,META,Open,249.0399932861328
2020-08-07,META,Open,264.0799865722656
2020-08-10,META,Open,268.0400085449219
2020-08-11,META,Open,260.19000244140625
2020-08-12,META,Open,258.9700012207031
2020-08-13,META,Open,261.54998779296875
2020-08-14,META,Open,262.30999755859375
2020-08-17,META,Open,262.5
2020-08-18,META,Open,260.95001220703125
2020-08-19,META,Open,261.3900146484375
2020-08-20,META,Open,261.5
2020-08-21,META,Open,268.69000244140625
2020-08-24,META,Open,271.07000732421875
2020-08-25,META,Open,272.4100036621094
2020-08-26,META,Open,284.0
2020-08-27,META,Open,300.1600036621094
2020-08-28,META,Open,295.0
2020-08-31,META,Open,293.95001220703125
2020-09-01,META,Open,294.7099914550781
2020-09-02,META,Open,298.8800048828125
2020-09-03,META,Open,295.989990234375
2020-09-04,META,Open,287.25
2020-09-08,META,Open,271.2799987792969
2020-09-09,META,Open,275.7699890136719
2020-09-10,META,Open,275.510009765625
2020-09-11,META,Open,270.05999755859375
2020-09-14,META,Open,270.95001220703125
2020-09-15,META,Open,270.6700134277344
2020-09-16,META,Open,267.2900085449219
2020-09-17,META,Open,258.2799987792969
2020-09-18,META,Open,258.3999938964844
2020-09-21,META,Open,247.5399932861328
2020-09-22,META,Open,253.30999755859375
2020-09-23,META,Open,255.25999450683594
2020-09-24,META,Open,246.5
2020-09-25,META,Open,249.39999389648438
2020-09-28,META,Open,259.3999938964844
2020-09-29,META,Open,257.80999755859375
2020-09-30,META,Open,261.9800109863281
2020-10-01,META,Open,265.3500061035156
2020-10-02,META,Open,261.2099914550781
2020-10-05,META,Open,262.20001220703125
2020-10-06,META,Open,261.7799987792969
2020-10-07,META,Open,259.2099914550781
2020-10-08,META,Open,259.75
2020-10-09,META,Open,264.5199890136719
2020-10-12,META,Open,270.20001220703125
2020-10-13,META,Open,277.5799865722656
2020-10-14,META,Open,277.6199951171875
2020-10-15,META,Open,267.6000061035156
2020-10-16,META,Open,267.3800048828125
2020-10-19,META,Open,265.5299987792969
2020-10-20,META,Open,263.05999755859375
2020-10-21,META,Open,279.55999755859375
2020-10-22,META,Open,279.8699951171875
2020-10-23,META,Open,278.79998779296875
2020-10-26,META,Open,283.1600036621094
2020-10-27,META,Open,278.760009765625
2020-10-28,META,Open,278.7900085449219
2020-10-29,META,Open,276.54998779296875
2020-10-30,META,Open,274.5
2020-11-02,META,Open,264.6000061035156
2020-11-03,META,Open,263.1600036621094
2020-11-04,META,Open,281.0
2020-11-05,META,Open,291.8999938964844
2020-11-06,META,Open,293.95001220703125
2020-11-09,META,Open,289.8699951171875
2020-11-10,META,Open,273.1000061035156
2020-11-11,META,Open,273.4700012207031
2020-11-12,META,Open,277.17999267578125
2020-11-13,META,Open,277.7200012207031
2020-11-16,META,Open,275.04998779296875
2020-11-17,META,Open,277.67999267578125
2020-11-18,META,Open,274.5199890136719
2020-11-19,META,Open,271.0199890136719
2020-11-20,META,Open,272.55999755859375
2020-11-23,META,Open,270.8900146484375
2020-11-24,META,Open,268.489990234375
2020-11-25,META,Open,278.1400146484375
2020-11-27,META,Open,277.3900146484375
2020-11-30,META,Open,276.0299987792969
2020-12-01,META,Open,279.1600036621094
2020-12-02,META,Open,285.3599853515625
2020-12-03,META,Open,286.25
2020-12-04,META,Open,280.29998779296875
2020-12-07,META,Open,279.19000244140625
2020-12-08,META,Open,286.010009765625
2020-12-09,META,Open,283.6600036621094
2020-12-10,META,Open,275.5400085449219
2020-12-11,META,Open,274.5299987792969
2020-12-14,META,Open,273.3699951171875
2020-12-15,META,Open,274.8299865722656
2020-12-16,META,Open,274.760009765625
2020-12-17,META,Open,277.07000732421875
2020-12-18,META,Open,275.7699890136719
2020-12-21,META,Open,272.9800109863281
2020-12-22,META,Open,271.5
2020-12-23,META,Open,266.8900146484375
2020-12-24,META,Open,268.8800048828125
2020-12-28,META,Open,268.739990234375
2020-12-29,META,Open,276.95001220703125
2020-12-30,META,Open,277.95001220703125
2020-12-31,META,Open,272.0
2021-01-04,META,Open,274.7799987792969
2021-01-05,META,Open,268.2900085449219
2021-01-06,META,Open,262.0
2021-01-07,META,Open,265.8999938964844
2021-01-08,META,Open,268.30999755859375
2021-01-11,META,Open,260.4800109863281
2021-01-12,META,Open,256.6300048828125
2021-01-13,META,Open,251.5500030517578
2021-01-14,META,Open,253.39999389648438
2021-01-15,META,Open,247.89999389648438
2021-01-19,META,Open,256.8999938964844
2021-01-20,META,Open,268.92999267578125
2021-01-21,META,Open,269.260009765625
2021-01-22,META,Open,272.010009765625
2021-01-25,META,Open,278.1400146484375
2021-01-26,META,Open,278.1400146484375
2021-01-27,META,Open,282.5299987792969
2021-01-28,META,Open,277.17999267578125
2021-01-29,META,Open,265.29998779296875
2021-02-01,META,Open,259.5199890136719
2021-02-02,META,Open,264.0
2021-02-03,META,Open,265.6199951171875
2021-02-04,META,Open,267.010009765625
2021-02-05,META,Open,266.79998779296875
2021-02-08,META,Open,268.75
2021-02-09,META,Open,266.44000244140625
2021-02-10,META,Open,272.45001220703125
2021-02-11,META,Open,271.8900146484375
2021-02-12,META,Open,270.5199890136719
2021-02-16,META,Open,270.79998779296875
2021-02-17,META,Open,271.239990234375
2021-02-18,META,Open,269.57000732421875
2021-02-19,META,Open,269.8599853515625
2021-02-22,META,Open,257.95001220703125
2021-02-23,META,Open,259.5
2021-02-24,META,Open,262.3299865722656
2021-02-25,META,Open,262.29998779296875
2021-02-26,META,Open,256.4700012207031
2021-03-01,META,Open,260.82000732421875
2021-03-02,META,Open,265.7799987792969
2021-03-03,META,Open,260.2900085449219
2021-03-04,META,Open,256.4700012207031
2021-03-05,META,Open,260.6700134277344
2021-03-08,META,Open,265.54998779296875
2021-03-09,META,Open,261.17999267578125
2021-03-10,META,Open,268.6400146484375
2021-03-11,META,Open,268.1099853515625
2021-03-12,META,Open,269.1400146484375
2021-03-15,META,Open,269.0799865722656
2021-03-16,META,Open,276.0799865722656
2021-03-17,META,Open,275.7099914550781
2021-03-18,META,Open,279.8699951171875
2021-03-19,META,Open,281.2200012207031
2021-03-22,META,Open,290.45001220703125
2021-03-23,META,Open,293.1499938964844
2021-03-24,META,Open,291.0
2021-03-25,META,Open,280.9800109863281
2021-03-26,META,Open,278.29998779296875
2021-03-29,META,Open,285.7699890136719
2021-03-30,META,Open,289.8299865722656
2021-03-31,META,Open,289.989990234375
2021-04-01,META,Open,298.3999938964844
2021-04-05,META,Open,300.8900146484375
2021-04-06,META,Open,308.8399963378906
2021-04-07,META,Open,306.3399963378906
2021-04-08,META,Open,314.8500061035156
2021-04-09,META,Open,311.3999938964844
2021-04-12,META,Open,311.04998779296875
2021-04-13,META,Open,312.2099914550781
2021-04-14,META,Open,307.29998779296875
2021-04-15,META,Open,306.3399963378906
2021-04-16,META,Open,308.1700134277344
2021-04-19,META,Open,305.010009765625
2021-04-20,META,Open,301.989990234375
2021-04-21,META,Open,301.95001220703125
2021-04-22,META,Open,301.3299865722656
